exp,subj,group,spat_var,x,y
3,1,variable,fixed,0,75
3,1,variable,fixed,1,58.33333333
3,1,variable,fixed,2,63.63636364
3,1,variable,fixed,3,58.33333333
3,1,variable,fixed,4,50
3,1,variable,fixed,5,50
3,1,variable,fixed,6,36.36363636
3,2,variable,fixed,0,100
3,2,variable,fixed,1,100
3,2,variable,fixed,2,100
3,2,variable,fixed,3,100
3,2,variable,fixed,4,100
3,2,variable,fixed,5,91.66666667
3,2,variable,fixed,6,41.66666667
3,3,variable,fixed,0,100
3,3,variable,fixed,1,91.66666667
3,3,variable,fixed,2,91.66666667
3,3,variable,fixed,3,100
3,3,variable,fixed,4,100
3,3,variable,fixed,5,58.33333333
3,3,variable,fixed,6,50
3,4,variable,fixed,0,75
3,4,variable,fixed,1,91.66666667
3,4,variable,fixed,2,81.81818182
3,4,variable,fixed,3,54.54545455
3,4,variable,fixed,4,41.66666667
3,4,variable,fixed,5,50
3,4,variable,fixed,6,50
3,5,variable,fixed,0,66.66666667
3,5,variable,fixed,1,72.72727273
3,5,variable,fixed,2,66.66666667
3,5,variable,fixed,3,58.33333333
3,5,variable,fixed,4,41.66666667
3,5,variable,fixed,5,16.66666667
3,5,variable,fixed,6,8.333333333
3,6,variable,fixed,0,100
3,6,variable,fixed,1,100
3,6,variable,fixed,2,100
3,6,variable,fixed,3,100
3,6,variable,fixed,4,66.66666667
3,6,variable,fixed,5,50
3,6,variable,fixed,6,50
3,7,variable,fixed,0,91.66666667
3,7,variable,fixed,1,100
3,7,variable,fixed,2,100
3,7,variable,fixed,3,91.66666667
3,7,variable,fixed,4,91.66666667
3,7,variable,fixed,5,100
3,7,variable,fixed,6,54.54545455
3,8,variable,fixed,0,66.66666667
3,8,variable,fixed,1,91.66666667
3,8,variable,fixed,2,81.81818182
3,8,variable,fixed,3,66.66666667
3,8,variable,fixed,4,41.66666667
3,8,variable,fixed,5,41.66666667
3,8,variable,fixed,6,45.45454545
3,9,variable,fixed,0,83.33333333
3,9,variable,fixed,1,91.66666667
3,9,variable,fixed,2,100
3,9,variable,fixed,3,50
3,9,variable,fixed,4,50
3,9,variable,fixed,5,36.36363636
3,9,variable,fixed,6,66.66666667
3,10,variable,fixed,0,91.66666667
3,10,variable,fixed,1,81.81818182
3,10,variable,fixed,2,75
3,10,variable,fixed,3,58.33333333
3,10,variable,fixed,4,54.54545455
3,10,variable,fixed,5,66.66666667
3,10,variable,fixed,6,66.66666667
3,11,variable,fixed,0,91.66666667
3,11,variable,fixed,1,100
3,11,variable,fixed,2,100
3,11,variable,fixed,3,100
3,11,variable,fixed,4,100
3,11,variable,fixed,5,50
3,11,variable,fixed,6,50
3,12,variable,fixed,0,91.66666667
3,12,variable,fixed,1,83.33333333
3,12,variable,fixed,2,83.33333333
3,12,variable,fixed,3,50
3,12,variable,fixed,4,90.90909091
3,12,variable,fixed,5,66.66666667
3,12,variable,fixed,6,41.66666667
3,13,fixed,fixed,0,100
3,13,fixed,fixed,1,100
3,13,fixed,fixed,2,100
3,13,fixed,fixed,3,100
3,13,fixed,fixed,4,100
3,13,fixed,fixed,5,58.33333333
3,13,fixed,fixed,6,50
3,14,fixed,fixed,0,91.66666667
3,14,fixed,fixed,1,100
3,14,fixed,fixed,2,100
3,14,fixed,fixed,3,100
3,14,fixed,fixed,4,100
3,14,fixed,fixed,5,100
3,14,fixed,fixed,6,100
3,15,fixed,fixed,0,83.33333333
3,15,fixed,fixed,1,100
3,15,fixed,fixed,2,100
3,15,fixed,fixed,3,75
3,15,fixed,fixed,4,41.66666667
3,15,fixed,fixed,5,8.333333333
3,15,fixed,fixed,6,16.66666667
3,16,fixed,fixed,0,100
3,16,fixed,fixed,1,91.66666667
3,16,fixed,fixed,2,36.36363636
3,16,fixed,fixed,3,45.45454545
3,16,fixed,fixed,4,16.66666667
3,16,fixed,fixed,5,36.36363636
3,16,fixed,fixed,6,27.27272727
3,17,fixed,fixed,0,100
3,17,fixed,fixed,1,91.66666667
3,17,fixed,fixed,2,100
3,17,fixed,fixed,3,75
3,17,fixed,fixed,4,58.33333333
3,17,fixed,fixed,5,50
3,17,fixed,fixed,6,58.33333333
3,18,fixed,fixed,0,81.81818182
3,18,fixed,fixed,1,100
3,18,fixed,fixed,2,100
3,18,fixed,fixed,3,90.90909091
3,18,fixed,fixed,4,66.66666667
3,18,fixed,fixed,5,54.54545455
3,18,fixed,fixed,6,50
3,19,fixed,fixed,0,33.33333333
3,19,fixed,fixed,1,33.33333333
3,19,fixed,fixed,2,25
3,19,fixed,fixed,3,33.33333333
3,19,fixed,fixed,4,8.333333333
3,19,fixed,fixed,5,16.66666667
3,19,fixed,fixed,6,16.66666667
3,20,fixed,fixed,0,41.66666667
3,20,fixed,fixed,1,33.33333333
3,20,fixed,fixed,2,25
3,20,fixed,fixed,3,58.33333333
3,20,fixed,fixed,4,90.90909091
3,20,fixed,fixed,5,10
3,20,fixed,fixed,6,83.33333333
3,21,fixed,fixed,0,100
3,21,fixed,fixed,1,100
3,21,fixed,fixed,2,100
3,21,fixed,fixed,3,100
3,21,fixed,fixed,4,100
3,21,fixed,fixed,5,100
3,21,fixed,fixed,6,100
3,22,fixed,fixed,0,91.66666667
3,22,fixed,fixed,1,83.33333333
3,22,fixed,fixed,2,100
3,22,fixed,fixed,3,100
3,22,fixed,fixed,4,91.66666667
3,22,fixed,fixed,5,54.54545455
3,22,fixed,fixed,6,50
3,23,fixed,fixed,0,100
3,23,fixed,fixed,1,100
3,23,fixed,fixed,2,100
3,23,fixed,fixed,3,100
3,23,fixed,fixed,4,100
3,23,fixed,fixed,5,90.90909091
3,23,fixed,fixed,6,66.66666667
3,24,fixed,fixed,0,91.66666667
3,24,fixed,fixed,1,81.81818182
3,24,fixed,fixed,2,41.66666667
3,24,fixed,fixed,3,16.66666667
3,24,fixed,fixed,4,16.66666667
3,24,fixed,fixed,5,58.33333333
3,24,fixed,fixed,6,58.33333333
3,25,variable,variable,0,66.66666667
3,25,variable,variable,1,63.63636364
3,25,variable,variable,2,45.45454545
3,25,variable,variable,3,91.66666667
3,25,variable,variable,4,66.66666667
3,25,variable,variable,5,83.33333333
3,25,variable,variable,6,66.66666667
3,26,variable,variable,0,100
3,26,variable,variable,1,100
3,26,variable,variable,2,100
3,26,variable,variable,3,100
3,26,variable,variable,4,91.66666667
3,26,variable,variable,5,100
3,26,variable,variable,6,50
3,27,variable,variable,0,72.72727273
3,27,variable,variable,1,75
3,27,variable,variable,2,91.66666667
3,27,variable,variable,3,100
3,27,variable,variable,4,90.90909091
3,27,variable,variable,5,91.66666667
3,27,variable,variable,6,72.72727273
3,28,variable,variable,0,58.33333333
3,28,variable,variable,1,75
3,28,variable,variable,2,91.66666667
3,28,variable,variable,3,75
3,28,variable,variable,4,58.33333333
3,28,variable,variable,5,50
3,28,variable,variable,6,50
3,29,variable,variable,0,50
3,29,variable,variable,1,72.72727273
3,29,variable,variable,2,22.22222222
3,29,variable,variable,3,44.44444444
3,29,variable,variable,4,50
3,29,variable,variable,5,50
3,29,variable,variable,6,63.63636364
3,30,variable,variable,0,91.66666667
3,30,variable,variable,1,91.66666667
3,30,variable,variable,2,100
3,30,variable,variable,3,91.66666667
3,30,variable,variable,4,91.66666667
3,30,variable,variable,5,58.33333333
3,30,variable,variable,6,25
3,31,variable,variable,0,100
3,31,variable,variable,1,91.66666667
3,31,variable,variable,2,100
3,31,variable,variable,3,100
3,31,variable,variable,4,100
3,31,variable,variable,5,100
3,31,variable,variable,6,100
3,32,variable,variable,0,25
3,32,variable,variable,1,41.66666667
3,32,variable,variable,2,41.66666667
3,32,variable,variable,3,66.66666667
3,32,variable,variable,4,75
3,32,variable,variable,5,83.33333333
3,32,variable,variable,6,50
3,33,variable,variable,0,58.33333333
3,33,variable,variable,1,66.66666667
3,33,variable,variable,2,25
3,33,variable,variable,3,41.66666667
3,33,variable,variable,4,40
3,33,variable,variable,5,33.33333333
3,33,variable,variable,6,50
3,34,variable,variable,0,45.45454545
3,34,variable,variable,1,66.66666667
3,34,variable,variable,2,50
3,34,variable,variable,3,50
3,34,variable,variable,4,25
3,34,variable,variable,5,45.45454545
3,34,variable,variable,6,33.33333333
3,35,variable,variable,0,100
3,35,variable,variable,1,83.33333333
3,35,variable,variable,2,100
3,35,variable,variable,3,100
3,35,variable,variable,4,83.33333333
3,35,variable,variable,5,91.66666667
3,35,variable,variable,6,58.33333333
3,36,variable,variable,0,100
3,36,variable,variable,1,100
3,36,variable,variable,2,100
3,36,variable,variable,3,100
3,36,variable,variable,4,58.33333333
3,36,variable,variable,5,50
3,36,variable,variable,6,50
3,37,fixed,variable,0,58.33333333
3,37,fixed,variable,1,75
3,37,fixed,variable,2,91.66666667
3,37,fixed,variable,3,100
3,37,fixed,variable,4,100
3,37,fixed,variable,5,66.66666667
3,37,fixed,variable,6,75
3,38,fixed,variable,0,100
3,38,fixed,variable,1,91.66666667
3,38,fixed,variable,2,100
3,38,fixed,variable,3,100
3,38,fixed,variable,4,100
3,38,fixed,variable,5,91.66666667
3,38,fixed,variable,6,91.66666667
3,39,fixed,variable,0,100
3,39,fixed,variable,1,100
3,39,fixed,variable,2,100
3,39,fixed,variable,3,100
3,39,fixed,variable,4,100
3,39,fixed,variable,5,50
3,39,fixed,variable,6,58.33333333
3,40,fixed,variable,0,58.33333333
3,40,fixed,variable,1,54.54545455
3,40,fixed,variable,2,50
3,40,fixed,variable,3,58.33333333
3,40,fixed,variable,4,33.33333333
3,40,fixed,variable,5,66.66666667
3,40,fixed,variable,6,33.33333333
3,41,fixed,variable,0,100
3,41,fixed,variable,1,100
3,41,fixed,variable,2,100
3,41,fixed,variable,3,100
3,41,fixed,variable,4,91.66666667
3,41,fixed,variable,5,58.33333333
3,41,fixed,variable,6,50
3,42,fixed,variable,0,100
3,42,fixed,variable,1,100
3,42,fixed,variable,2,100
3,42,fixed,variable,3,100
3,42,fixed,variable,4,100
3,42,fixed,variable,5,75
3,42,fixed,variable,6,58.33333333
3,43,fixed,variable,0,100
3,43,fixed,variable,1,100
3,43,fixed,variable,2,91.66666667
3,43,fixed,variable,3,100
3,43,fixed,variable,4,100
3,43,fixed,variable,5,100
3,43,fixed,variable,6,100
3,44,fixed,variable,0,44.44444444
3,44,fixed,variable,1,50
3,44,fixed,variable,2,62.5
3,44,fixed,variable,3,71.42857143
3,44,fixed,variable,4,62.5
3,44,fixed,variable,5,70
3,44,fixed,variable,6,60
3,45,fixed,variable,0,33.33333333
3,45,fixed,variable,1,54.54545455
3,45,fixed,variable,2,58.33333333
3,45,fixed,variable,3,36.36363636
3,45,fixed,variable,4,25
3,45,fixed,variable,5,8.333333333
3,45,fixed,variable,6,54.54545455
3,46,fixed,variable,0,27.27272727
3,46,fixed,variable,1,50
3,46,fixed,variable,2,58.33333333
3,46,fixed,variable,3,58.33333333
3,46,fixed,variable,4,50
3,46,fixed,variable,5,66.66666667
3,46,fixed,variable,6,33.33333333
3,47,fixed,variable,0,100
3,47,fixed,variable,1,100
3,47,fixed,variable,2,100
3,47,fixed,variable,3,100
3,47,fixed,variable,4,100
3,47,fixed,variable,5,50
3,47,fixed,variable,6,50
3,48,fixed,variable,0,100
3,48,fixed,variable,1,100
3,48,fixed,variable,2,100
3,48,fixed,variable,3,100
3,48,fixed,variable,4,66.66666667
3,48,fixed,variable,5,58.33333333
3,48,fixed,variable,6,50